,Donor_Id,P_year,Frequency
0,b'0003114',155,10.0
0,b'0003124',84,9.0
0,b'0003136',157,10.0
0,b'0003138',1,1.0
0,b'0003149',2,2.0
0,b'0003151',1,1.0
0,b'0003153',34,8.0
0,b'0003159',156,10.0
0,b'0003166',23,8.0
0,b'0003172',1,1.0
0,b'0003175',155,10.0
0,b'0003176',1,1.0
0,b'0003177',79,10.0
0,b'0003180',1,1.0
0,b'0003186',128,10.0
0,b'0003188',2,2.0
0,b'0003194',1,1.0
0,b'0003200',154,10.0
0,b'0003207',156,10.0
0,b'0003230',10,2.0
0,b'0003236',25,6.0
0,b'0003242',76,5.0
0,b'0003243',1,1.0
0,b'0003252',158,11.0
0,b'0003257',158,11.0
0,b'0003266',43,9.0
0,b'0003271',157,10.0
0,b'0003272',2,2.0
0,b'0003285',156,10.0
0,b'0003295',1,1.0
0,b'0003298',161,11.0
0,b'0003310',1,1.0
0,b'0003319',1,1.0
0,b'0003322',156,10.0
0,b'0003326',41,3.0
0,b'0003330',22,2.0
0,b'0003339',1,1.0
0,b'0003350',1,1.0
0,b'0003359',152,11.0
0,b'0003361',1,1.0
0,b'0003383',1,1.0
0,b'0003387',1,1.0
0,b'0003392',1,1.0
0,b'0003394',147,11.0
0,b'0003395',1,1.0
0,b'0003405',1,1.0
0,b'0003407',1,1.0
0,b'0003409',158,11.0
0,b'0003414',2,2.0
0,b'0003417',1,1.0
0,b'0003418',156,10.0
0,b'0003435',1,1.0
0,b'0003440',157,10.0
0,b'0003448',1,1.0
0,b'0003453',160,11.0
0,b'0003454',1,1.0
0,b'0003457',1,1.0
0,b'0003465',31,4.0
0,b'0003472',1,1.0
0,b'0003475',1,1.0
0,b'0003481',147,10.0
0,b'0003483',1,1.0
0,b'0003488',152,10.0
0,b'0003489',3,3.0
0,b'0003495',1,1.0
0,b'0003497',1,1.0
0,b'0003502',1,1.0
0,b'0003521',1,1.0
0,b'0003530',193,21.0
0,b'0003535',151,11.0
0,b'0003543',1,1.0
0,b'0003546',157,10.0
0,b'0003555',1,1.0
0,b'0003557',159,11.0
0,b'0003560',158,11.0
0,b'0003566',24,2.0
0,b'0003577',68,5.0
0,b'0003592',291,19.0
0,b'0003604',8,3.0
0,b'0003611',32,2.0
0,b'0003612',56,9.0
0,b'0003619',1,1.0
0,b'0003624',5,5.0
0,b'0003627',5,2.0
0,b'0003630',144,10.0
0,b'0003653',1,1.0
0,b'0003659',159,11.0
